,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,Marolambo,-20.05,48.12,58.37,93,18,1.86,MG,1594688111
198,Kumul,42.8,93.45,77.16,28,0,5.73,CN,1594688113
199,Paranaíba,-19.68,-51.19,78.31,47,29,3.69,BR,1594688116
200,Togur,58.36,82.83,65.19,76,5,6.8,RU,1594688117
201,Jinchang,38.5,102.17,74.59,42,20,2.82,CN,1594688119
202,Richards Bay,-28.78,32.04,60.49,38,0,11.41,ZA,1594688121
203,Hong Kong,22.29,114.16,89.01,74,0,8.01,HK,1594687834
204,San Andrés,12.58,-81.7,82.4,88,40,9.17,CO,1594688123
205,Poso,-1.4,120.75,76.41,88,100,7.02,ID,1594688124
206,Honiara,-9.43,159.95,77.0,94,90,5.82,SB,1594687844
207,Narsaq,60.92,-46.05,53.6,76,100,4.7,GL,1594688127
208,Fairbanks,64.84,-147.72,66.0,63,90,13.87,US,1594688128
209,Yulara,-25.24,130.99,50.0,46,0,8.05,AU,1594688129
210,Ponnāni,10.77,75.93,77.0,88,75,6.93,IN,1594688130
211,Hualmay,-11.1,-77.61,61.95,82,0,7.38,PE,1594688132
212,Nelson Bay,-32.72,152.15,60.8,77,75,28.86,AU,1594688133
213,Labytnangi,66.66,66.42,52.95,68,71,14.58,RU,1594688134
214,Tigil',57.8,158.67,71.29,53,100,5.21,RU,1594688135
215,Dom Pedro,-4.48,-44.45,73.53,90,0,3.13,BR,1594688139
216,Fukuechō,32.69,128.84,71.6,94,75,6.93,JP,1594688140
217,Tuktoyaktuk,69.45,-133.04,62.6,63,40,9.17,CA,1594688139
218,Nanortalik,60.14,-45.24,44.44,94,100,4.43,GL,1594688143
219,Bilma,18.69,12.92,88.63,30,26,12.5,NE,1594688144
220,Pacifica,37.61,-122.49,66.2,82,75,5.82,US,1594688145
221,Manali,13.17,80.27,80.6,83,40,3.36,IN,1594687876
222,Sebrovo,50.1,43.3,73.0,64,0,4.0,RU,1594688148
223,Kontagora,10.4,5.47,71.49,93,55,5.93,NG,1594688149
224,Belyy Yar,53.6,91.39,66.2,82,100,6.71,RU,1594688150
225,Evensk,61.95,159.23,58.21,84,22,11.14,RU,1594688151
226,Faanui,-16.48,-151.75,79.0,81,100,16.13,PF,1594688153
227,Zabaykal'sk,49.63,117.32,72.73,67,100,4.03,RU,1594688155
228,Dongsheng,39.82,109.98,74.25,47,52,8.86,CN,1594688156
229,Port Hardy,50.7,-127.42,62.6,67,40,11.41,CA,1594688159
230,Eureka,40.8,-124.16,66.0,37,1,1.01,US,1594688160
231,Palmer,42.16,-72.33,73.4,78,40,3.36,US,1594688161
232,Ilulissat,69.22,-51.1,46.4,70,100,3.36,GL,1594688162
233,Huntsville,34.73,-86.59,86.0,58,40,5.82,US,1594688164
234,Smithers,54.78,-127.17,66.2,42,75,11.41,CA,1594688005
235,Gáldar,28.15,-15.65,69.8,77,20,28.86,ES,1594688166
236,Leningradskiy,69.38,178.42,41.81,78,99,11.48,RU,1594688167
237,Winnemucca,40.97,-117.74,93.2,7,1,12.75,US,1594688169
238,Sneek,53.03,5.66,63.0,77,90,4.7,NL,1594688170
239,Palana,59.12,159.97,56.7,78,100,8.75,RU,1594688171
240,Lensk,60.73,114.93,77.25,40,0,5.19,RU,1594688137
241,Tiksi,71.69,128.87,40.86,96,100,9.57,RU,1594688175
242,Port Blair,11.67,92.75,82.35,78,100,12.3,IN,1594688101
243,Pathein,16.78,94.73,78.57,86,100,3.04,MM,1594688178
244,Mananara,-16.17,49.77,64.81,89,10,4.43,MG,1594688181
245,Wajir,1.75,40.06,75.85,68,47,19.64,KE,1594688182
246,Bandarbeyla,9.49,50.81,78.96,67,99,26.08,SO,1594688183
247,Caniço,32.63,-16.85,69.8,68,20,4.7,PT,1594688184
248,Ballina,-28.87,153.57,59.0,54,0,14.99,AU,1594688186
249,Ţahţā,26.77,31.5,80.6,26,0,8.05,EG,1594688187
250,Christchurch,-43.53,172.63,48.99,75,0,3.36,NZ,1594688099
251,São Raimundo Nonato,-9.02,-42.7,72.7,59,97,1.32,BR,1594688024
252,Bon Air,37.52,-77.56,82.99,71,0,1.07,US,1594687931
253,Mount Gambier,-37.83,140.77,48.2,100,0,8.05,AU,1594688192
254,Lumby,50.25,-118.97,73.4,31,1,3.36,CA,1594688193
255,Saint-Augustin,51.23,-58.65,52.5,86,100,16.67,CA,1594688195
256,Qarayeri,40.79,46.31,73.4,69,75,13.87,AZ,1594688197
257,Lata,40.16,-8.33,72.0,73,0,1.66,PT,1594688198
258,Olivenza,38.68,-7.1,82.0,36,0,4.52,ES,1594688199
259,Pemangkat,1.17,108.97,75.51,94,100,11.16,ID,1594688201
260,Dilla,6.41,38.31,59.59,83,72,3.29,ET,1594688203
261,Havre-St-Pierre,50.23,-63.6,55.4,71,90,13.87,CA,1594688205
262,Longyearbyen,78.22,15.64,46.4,81,75,5.82,SJ,1594688206
263,Amuntai,-2.42,115.25,80.06,82,3,0.78,ID,1594688208
264,Broome,42.25,-75.83,66.99,77,75,8.05,US,1594688210
265,Mangochi,-14.48,35.26,60.75,84,0,4.21,MW,1594688211
266,Yārāda,17.65,83.27,78.8,94,90,2.24,IN,1594688213
267,Lorengau,-2.02,147.27,83.68,70,77,5.12,PG,1594688214
268,Kalmunai,7.42,81.82,80.82,77,100,7.18,LK,1594688215
269,Bonthe,7.53,-12.51,76.1,88,100,10.49,SL,1594688217
270,Tota,5.56,-72.99,48.67,91,42,3.24,CO,1594688221
271,São Filipe,14.9,-24.5,77.81,85,7,4.83,CV,1594688222
272,Biak,-0.91,122.88,79.43,81,81,4.47,ID,1594688223
273,Bodaybo,57.85,114.19,78.49,63,82,1.54,RU,1594688121
274,Yeppoon,-23.13,150.73,62.6,33,0,16.11,AU,1594688048
275,Phalaborwa,-23.94,31.14,60.8,26,0,6.93,ZA,1594688227
276,Carutapera,-1.2,-46.02,74.68,93,17,5.53,BR,1594688228
277,Ende,-8.84,121.66,81.93,61,11,5.75,ID,1594688230
278,Hasaki,35.73,140.83,75.2,94,75,9.17,JP,1594688231
279,Deputatsky,69.3,139.9,51.12,93,100,6.4,RU,1594688232
280,Miles City,46.41,-105.84,77.0,20,1,13.87,US,1594688040
281,Anjiang,27.32,110.1,85.71,67,80,3.74,CN,1594688234
282,Vardø,70.37,31.11,41.0,100,20,9.17,NO,1594688236
283,Ancud,-41.87,-73.82,39.99,93,100,6.49,CL,1594688237
284,Oodweyne,9.41,45.06,73.2,54,100,16.93,SO,1594688238
285,Cabatuan,10.88,122.49,83.89,74,100,1.63,PH,1594688239
286,Gizo Government Station,-8.1,156.84,83.86,70,100,5.82,SB,1594688241
287,Borogontsy,62.67,131.17,75.2,51,0,7.58,RU,1594688242
288,Manokwari,-0.87,134.08,83.08,71,89,7.38,ID,1594688243
289,Mar del Plata,-38.0,-57.56,42.01,60,20,14.99,AR,1594688244
290,Vila Franca do Campo,37.72,-25.43,66.2,82,20,8.05,PT,1594688245
291,Smirnykh,49.75,142.83,62.33,77,95,5.39,RU,1594688247
292,Dombarovskiy,50.76,59.54,71.71,54,0,10.36,RU,1594688249
293,Teya,60.38,92.63,68.85,61,0,4.76,RU,1594688250
294,Metro,-5.11,105.31,77.94,85,100,2.01,ID,1594688251
295,Ponta do Sol,32.67,-17.1,69.8,68,20,4.7,PT,1594688253
296,Yambio,4.57,28.4,67.35,96,100,2.62,SS,1594688047
297,Rovaniemi,66.5,25.72,51.8,93,75,6.93,FI,1594688126
298,Pahrump,36.21,-115.98,108.0,9,0,10.0,US,1594688256
299,Mwinilunga,-11.74,24.43,52.23,65,0,2.82,ZM,1594688258
300,Mossamedes,-15.2,12.15,61.43,81,0,1.12,AO,1594688259
301,Ossora,59.24,163.07,59.97,77,100,9.8,RU,1594688260
302,Aksu,41.12,80.26,75.87,39,100,16.96,CN,1594688237
303,Agirish,61.92,63.02,53.92,66,38,7.11,RU,1594688262
304,Micheweni,-4.97,39.83,75.76,82,0,11.43,TZ,1594688264
305,Nicoya,10.15,-85.45,82.4,74,75,3.36,CR,1594688265
306,Sīrjān,29.45,55.68,70.21,41,0,7.07,IR,1594688266
307,Abu Dhabi,24.47,54.37,98.6,53,8,8.05,AE,1594688263
308,Codrington,-38.27,141.97,52.81,78,2,6.82,AU,1594688269
309,Los Llanos de Aridane,28.66,-17.92,69.8,77,75,12.75,ES,1594688270
310,Sri Aman,1.24,111.46,75.2,94,40,0.67,MY,1594688271
311,Helena,46.59,-112.04,77.0,15,1,12.75,US,1594688053
312,Kaeo,-35.1,173.78,61.0,3,93,5.99,NZ,1594688275
313,Bambous Virieux,-20.34,57.76,69.8,88,40,9.17,MU,1594688276
314,Solton,52.84,86.48,63.48,90,75,3.74,RU,1594688277
315,Korla,41.76,86.15,75.0,56,45,10.33,CN,1594688278
316,Ahipara,-35.17,173.17,62.38,70,82,5.44,NZ,1594688225
317,Terney,45.05,136.61,67.95,70,48,5.35,RU,1594688281
318,San Ignacio,17.16,-89.07,82.0,88,20,5.64,BZ,1594688282
319,Amga,60.9,131.96,76.64,65,96,3.38,RU,1594688283
320,Minsk,53.9,27.57,48.2,93,0,6.71,BY,1594688108
321,Buala,-8.14,159.59,85.6,65,70,7.29,SB,1594688241
322,Senanga,-16.12,23.27,49.93,43,0,4.85,ZM,1594688287
323,Guerrero Negro,27.98,-114.06,76.39,56,0,19.95,MX,1594688288
324,Byron Bay,-28.65,153.62,59.0,54,1,14.99,AU,1594688289
325,Ayan,56.45,138.17,59.14,75,8,14.25,RU,1594688290
326,Golden,39.76,-105.22,87.01,31,75,18.34,US,1594688292
327,Samarai,-10.62,150.67,79.14,88,84,9.78,PG,1594688293
328,Kerrville,30.05,-99.14,102.2,14,1,10.29,US,1594688294
329,Celestún,20.87,-90.4,83.71,74,17,16.04,MX,1594688295
330,Tres Arroyos,-38.37,-60.28,36.43,73,0,12.39,AR,1594688296
331,Atbasar,51.8,68.33,66.07,68,0,5.55,KZ,1594688298
332,Barra de Tecoanapa,16.52,-98.75,83.64,70,1,5.86,MX,1594688300
333,Maxixe,-23.86,35.35,59.4,72,0,9.89,MZ,1594688301
334,Amberley,39.2,-84.43,81.0,51,75,8.05,US,1594688303
335,Casino,-28.87,153.05,60.8,44,0,11.41,AU,1594688119
336,San Patricio,19.22,-104.7,87.8,74,20,11.41,MX,1594688305
337,Mezen',65.85,44.24,50.83,85,100,7.34,RU,1594688306
338,Plettenberg Bay,-34.05,23.37,52.34,61,82,22.39,ZA,1594688307
339,Kasimov,54.94,41.4,61.14,93,65,3.65,RU,1594688309
340,Marawi,8.0,124.29,82.99,77,100,4.0,PH,1594688310
341,Port Macquarie,-31.43,152.92,55.0,87,90,17.22,AU,1594688311
342,Makakilo City,21.35,-158.09,87.8,45,20,11.41,US,1594688312
343,Vanavara,60.34,102.28,72.36,53,42,4.27,RU,1594688314
344,Leona Vicario,20.97,-87.19,84.2,70,40,9.17,MX,1594688316
345,Ecoporanga,-18.37,-40.83,67.03,89,0,1.54,BR,1594688318
346,Thessalon,46.25,-83.57,75.2,47,75,3.36,CA,1594688319
347,Morón,-34.65,-58.62,46.0,52,0,1.01,AR,1594688320
348,Lebu,-37.62,-73.65,48.06,77,1,3.04,CL,1594688128
349,Srednekolymsk,67.45,153.68,68.31,34,29,11.45,RU,1594688322
350,Macao,22.2,113.55,87.8,70,20,6.93,MO,1594688055
351,Grindavik,63.84,-22.43,48.2,93,75,3.36,IS,1594688325
352,Nkhata Bay,-11.61,34.29,66.02,72,0,4.52,MW,1594688326
353,Tosya,41.02,34.04,56.46,79,2,3.11,TR,1594688327
354,Cidreira,-30.18,-50.21,52.2,68,0,14.43,BR,1594688138
355,Sattenapalle,16.4,80.18,78.8,94,90,5.21,IN,1594688330
356,Bundaberg,-24.85,152.35,62.01,47,0,20.8,AU,1594688331
357,Mumford,5.26,-0.76,74.82,89,85,11.25,GH,1594688332
358,Akropong,5.97,-0.09,77.0,94,90,12.75,GH,1594688333
359,Waddān,29.16,16.14,69.01,78,0,5.53,LY,1594688335
360,Pueblo Nuevo,23.38,-105.38,67.3,94,72,4.21,MX,1594688336
361,Talaya,61.38,152.75,65.19,61,98,6.24,RU,1594688337
362,Alappuzha,9.49,76.33,79.25,84,100,7.02,IN,1594688281
363,Karpathos,35.51,27.21,75.2,73,0,32.21,GR,1594688339
364,Pinyug,60.25,47.78,63.48,97,100,5.88,RU,1594688342
365,Laguna,38.42,-121.42,91.4,27,1,10.29,US,1594688343
366,Miandrivazo,-19.52,45.47,65.05,80,0,1.74,MG,1594688344
367,Kutum,14.2,24.67,79.34,41,24,5.91,SD,1594688346
368,Yatou,37.15,122.38,71.47,72,61,13.87,CN,1594688155
369,Antalaha,-14.9,50.28,65.14,86,29,6.91,MG,1594688348
370,Prado,-17.34,-39.22,71.85,85,3,5.75,BR,1594688349
371,Khandyga,62.67,135.6,78.44,57,21,4.94,RU,1594688350
372,Addanki,15.82,79.98,81.05,80,100,5.17,IN,1594688352
373,Anadyr,64.75,177.48,51.8,87,75,15.66,RU,1594688353
